nombre,nivel,promedio,cluster,Matemáticas,Programación,Base de Datos,Redes,IA/ML,Inglés,Estadística,pca_x,pca_y
Alumno_50,📗 Básico,46.2,2,47.0,47.2,51.4,41.4,41.7,45.7,48.7,4.6253159407071545,0.048778297908025105
Alumno_51,📗 Básico,51.2,2,51.8,58.7,55.1,49.1,49.9,44.1,49.9,3.6891402407881944,0.43437598596926985
Alumno_52,📗 Básico,51.3,2,48.3,51.9,45.1,53.1,59.1,49.4,52.4,3.733124505393959,-0.026717751034371684
Alumno_53,📗 Básico,49.9,2,54.1,47.6,51.3,50.1,50.6,45.4,50.1,3.9318676924107203,0.2109238524677514
Alumno_54,📗 Básico,54.5,2,52.9,58.6,55.7,62.7,45.5,55.2,51.1,3.16552121404396,-0.3279109896234359
Alumno_55,📗 Básico,47.1,2,63.0,45.2,45.0,46.5,37.4,46.9,45.5,4.445320054667159,0.045156785476303724
Alumno_56,📗 Básico,52.0,2,50.9,52.0,61.1,55.6,46.6,44.7,52.9,3.5315046600171707,0.28354356830481536
Alumno_57,📗 Básico,50.6,2,42.2,60.8,57.0,47.2,39.9,58.0,49.3,3.9281356859871552,-0.5818564386666288
Alumno_58,📗 Básico,49.4,2,57.3,40.6,46.5,50.0,50.3,47.3,53.7,4.032810907678458,0.020229694292136634
Alumno_59,📗 Básico,47.9,2,43.7,49.2,50.7,53.0,54.2,43.3,40.9,4.302173165799751,0.19859824426439127
Alumno_60,📗 Básico,53.2,2,57.6,52.0,45.6,59.2,50.7,57.0,50.4,3.4289966213369913,-0.470714798798094
